Park2019,parkCode,RecreationalVisits2019,NonRecreationalVisits2019,TotalVisits2019,RecreationVisitorHours2019,NonRecreationVisitorHours2019,VisitorDays2019,ConcessionerLodging2019,ConcessionerCamping2019,TentOvernights2019,RecreationVehicleOvernights2019,BackcountryOvernights2019,MiscellaneousOvernights2019,NonRecreationOvernights2019,TotalRecreationVisits2019,TotalNonRecreationVisits2019,SumOfTotalVisits2019,TotalRecreationVisitorHours2019,TotalNonRecreationVisitorHours2019,TotalVisitorDays2019,TotalConcessionerLodging2019,TotalConcessionerCamping2019,TotalTentOvernights2019,TotalRecreationVehicleOvernights2019,TotalBackcountryOvernights2019,TotalMiscellaneousOvernights2019,TotalNonRecreationOvernights2019
Cabrillo NM,CABR,"741,710","81,792","823,502","1,109,500","20,447","92,458",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Canaveral NS,CANA,"1,726,335",0,"1,726,335","4,369,999",0,"364,166",0,0,0,0,"2,181",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cane River Creole NHP,CARI,"28,682",0,"28,682","57,363",0,"4,780",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Canyon de Chelly NM,CACH,"412,801","594,708","1,007,509","2,852,038","1,189,416","237,669","16,081","14,385",0,0,804,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Canyonlands NP,CANY,"734,384",0,"734,384","5,188,134",0,"432,344",0,0,"9,978","8,334","77,865",508,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cape Cod NS,CACO,"4,001,094","29,548","4,030,642","7,894,511","177,288","657,875","1,697",0,0,0,0,"8,510",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cape Hatteras NS,CAHA,"2,631,087","139,394","2,770,481","11,752,245","424,483","979,353",0,0,"44,658","44,147",0,"4,412",420,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cape Krusenstern NM,CAKR,"16,036","7,800","23,836","45,388","62,400","3,782",0,0,0,0,"6,425",0,"4,375","323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cape Lookout NS,CALO,"444,684","2,820","447,504","1,972,384","8,460","164,365",246,0,0,0,"2,027","7,814",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Capitol Reef NP,CARE,"1,217,792","52,863","1,270,655","1,871,585","52,863","155,965",0,0,"24,702","22,803","4,060","2,523",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
