Park2000,parkCode,RecreationalVisits2000,NonRecreationalVisits2000,TotalVisits2000,RecreationVisitorHours2000,NonRecreationVisitorHours2000,VisitorDays2000,ConcessionerLodging2000,ConcessionerCamping2000,TentOvernights2000,RecreationVehicleOvernights2000,BackcountryOvernights2000,MiscellaneousOvernights20000,NonRecreationOvernights2000,TotalRecreationVisits2000,TotalNonRecreationVisits2000,SumOfTotalVisits2000,TotalRecreationVisitorHours2000,TotalNonRecreationVisitorHours2000,TotalVisitorDays2000,TotalConcessionerLodging2000,TotalConcessionerCamping2000,TotalTentOvernights2000,TotalRecreationVehicleOvernights2000,TotalBackcountryOvernights2000,TotalMiscellaneousOvernights2000,TotalNonRecreationOvernights2000
Curecanti NRA,CURE,"1,030,551",0,"1,030,551","4,890,933",0,"407,577",0,0,"20,204","60,388",64,"1,371",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cuyahoga Valley NP,CUVA,"3,265,035","6,896","3,271,931","10,051,723","3,448","837,643","2,454",0,0,0,0,"3,058",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Dayton Aviation Heritage NHP,DAAV,"35,044",678,"35,722","70,088",678,"5,840",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
De Soto NMEM,DESO,"290,299",0,"290,299","478,995",0,"39,916",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Death Valley NP,DEVA,"1,165,710","43,498","1,209,208","8,676,538","65,250","723,044","31,808","2,716","55,412","150,618",0,267,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Delaware Water Gap NRA,DEWA,"4,889,233","178,215","5,067,448","21,970,072","89,110","1,830,839",0,"22,422",0,0,"43,675","20,262",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Denali NP & PRES,DENA,"364,056","818,788","1,182,844","5,644,544","204,700","470,378","19,095",0,"30,169","37,262","32,596","2,002",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Devils Postpile NM,DEPO,"156,206",0,"156,206","654,074",0,"54,506",0,0,"4,044","1,922",0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Devils Tower NM,DETO,"386,828","1,550","388,378","1,076,100",777,"89,675",0,0,"4,802","4,433",0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Dinosaur NM,DINO,"401,528",732,"402,260","2,293,969",732,"191,164",0,0,"17,184","8,136","31,152","3,767",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
